row_id,votes_id,Id,PostId,VoteTypeId,CreationDate,UserId
1,1,1,1,2,2015-10-29T00:00:00.000,
2,1,2,1,2,2015-10-29T00:00:00.000,
3,1,3,2,2,2015-10-30T00:00:00.000,
4,1,4,2,2,2015-10-30T00:00:00.000,
5,1,5,4,1,2015-10-30T00:00:00.000,
6,1,6,4,2,2015-10-30T00:00:00.000,
7,1,7,5,2,2015-10-30T00:00:00.000,
8,1,8,1,2,2015-10-30T00:00:00.000,
9,1,9,6,2,2015-10-30T00:00:00.000,
10,1,10,1,2,2015-10-30T00:00:00.000,
11,1,11,6,3,2015-10-30T00:00:00.000,
12,1,12,8,2,2015-10-31T00:00:00.000,
13,1,13,8,2,2015-10-31T00:00:00.000,
14,1,14,3,2,2015-10-31T00:00:00.000,
15,1,15,9,2,2015-10-31T00:00:00.000,
16,1,16,11,2,2015-10-31T00:00:00.000,
17,1,17,11,2,2015-10-31T00:00:00.000,
18,1,18,9,2,2015-10-31T00:00:00.000,
19,1,19,9,2,2015-10-31T00:00:00.000,
20,1,20,9,2,2015-10-31T00:00:00.000,
21,1,21,10,2,2015-10-31T00:00:00.000,
22,1,22,15,2,2015-11-02T00:00:00.000,
23,1,23,16,2,2015-11-02T00:00:00.000,
24,1,24,11,2,2015-11-02T00:00:00.000,
25,1,25,10,2,2015-11-02T00:00:00.000,
26,1,26,7,2,2015-11-02T00:00:00.000,
27,1,27,9,2,2015-11-02T00:00:00.000,
28,1,28,12,2,2015-11-02T00:00:00.000,
29,1,29,15,2,2015-11-02T00:00:00.000,
30,1,30,14,2,2015-11-02T00:00:00.000,
31,1,31,8,2,2015-11-02T00:00:00.000,
32,1,32,2,2,2015-11-02T00:00:00.000,
33,1,34,4,2,2015-11-02T00:00:00.000,
34,1,35,17,2,2015-11-02T00:00:00.000,
35,1,36,18,2,2015-11-02T00:00:00.000,
36,1,37,13,2,2015-11-02T00:00:00.000,
37,1,38,14,2,2015-11-02T00:00:00.000,
38,1,39,22,2,2015-11-03T00:00:00.000,
39,1,40,23,2,2015-11-03T00:00:00.000,
40,1,42,13,2,2015-11-03T00:00:00.000,
41,1,43,23,2,2015-11-03T00:00:00.000,
42,1,44,18,2,2015-11-03T00:00:00.000,
43,1,45,19,2,2015-11-04T00:00:00.000,
44,1,46,16,2,2015-11-04T00:00:00.000,
45,1,47,11,2,2015-11-05T00:00:00.000,
46,1,49,26,2,2015-11-06T00:00:00.000,
47,1,50,16,2,2015-11-06T00:00:00.000,
48,1,51,21,2,2015-11-06T00:00:00.000,
49,1,52,3,2,2015-11-06T00:00:00.000,
50,1,53,26,2,2015-11-14T00:00:00.000,
51,1,54,6,2,2015-11-14T00:00:00.000,
52,1,55,2,2,2015-11-14T00:00:00.000,
53,1,56,3,2,2015-11-14T00:00:00.000,
54,1,57,1,2,2015-11-14T00:00:00.000,
55,1,58,12,2,2015-11-14T00:00:00.000,
56,1,59,16,5,2015-11-21T00:00:00.000,20
57,1,60,16,2,2015-11-22T00:00:00.000,
58,1,61,13,2,2015-11-23T00:00:00.000,
59,1,62,30,2,2015-11-23T00:00:00.000,
60,1,63,30,2,2015-11-23T00:00:00.000,
61,1,64,30,1,2015-11-23T00:00:00.000,
62,1,65,30,2,2015-11-24T00:00:00.000,
63,1,66,32,2,2015-11-25T00:00:00.000,
64,1,67,10,1,2015-12-01T00:00:00.000,
65,1,68,25,2,2015-12-01T00:00:00.000,
66,1,69,25,5,2015-12-01T00:00:00.000,74
67,1,70,3,2,2015-12-01T00:00:00.000,
68,1,71,3,5,2015-12-01T00:00:00.000,74
69,1,72,10,2,2015-12-01T00:00:00.000,
70,1,73,27,2,2015-12-01T00:00:00.000,
71,1,74,26,2,2015-12-01T00:00:00.000,
72,1,75,26,5,2015-12-01T00:00:00.000,74
73,1,76,19,2,2015-12-01T00:00:00.000,
74,1,77,12,2,2015-12-01T00:00:00.000,
75,1,78,12,5,2015-12-01T00:00:00.000,74
76,1,79,18,2,2015-12-01T00:00:00.000,
77,1,80,21,2,2015-12-01T00:00:00.000,
78,1,81,1,2,2015-12-01T00:00:00.000,
79,1,82,1,5,2015-12-01T00:00:00.000,74
80,1,83,35,2,2015-12-01T00:00:00.000,
81,1,84,10,2,2015-12-01T00:00:00.000,
82,1,85,10,2,2015-12-01T00:00:00.000,
83,1,86,13,2,2015-12-01T00:00:00.000,
84,1,87,22,2,2015-12-01T00:00:00.000,
85,1,88,23,2,2015-12-01T00:00:00.000,
86,1,89,21,2,2015-12-01T00:00:00.000,
87,1,90,18,2,2015-12-01T00:00:00.000,
88,1,91,38,10,2015-12-01T00:00:00.000,
89,1,92,43,2,2015-12-01T00:00:00.000,
90,1,93,22,2,2015-12-01T00:00:00.000,
91,1,94,44,2,2015-12-01T00:00:00.000,
92,1,95,45,2,2015-12-01T00:00:00.000,
93,1,96,46,2,2015-12-01T00:00:00.000,
94,1,97,46,2,2015-12-01T00:00:00.000,
95,1,98,30,2,2015-12-01T00:00:00.000,
96,1,99,17,2,2015-12-01T00:00:00.000,
97,1,100,49,10,2015-12-01T00:00:00.000,
98,1,101,13,2,2015-12-01T00:00:00.000,
99,1,102,9,2,2015-12-01T00:00:00.000,
100,1,103,46,2,2015-12-01T00:00:00.000,
101,1,104,10,2,2015-12-01T00:00:00.000,
102,1,105,46,2,2015-12-01T00:00:00.000,
103,1,106,1,2,2015-12-01T00:00:00.000,
104,1,107,46,2,2015-12-01T00:00:00.000,
105,1,108,46,2,2015-12-01T00:00:00.000,
106,1,109,19,2,2015-12-01T00:00:00.000,
107,1,110,46,5,2015-12-01T00:00:00.000,261
108,1,111,46,2,2015-12-01T00:00:00.000,
109,1,112,22,2,2015-12-01T00:00:00.000,
